Reference ID;Client Operation id;Method;Operation State;Status;Initial Amount;Initial Currency;Charged Amount;Charged Currency
019817274b01729fbe7fd4e8140dc95d;5006962010210554;apm;complete;fail;417;TRY;0;
01981721267077ed97b7088cda6fd5bc;5026712010216434;apm;complete;fail;558;TRY;0;
01981711271d74ff88f57acbdb30cc22;6994010145812;apm;in_process;success;500;TRY;500;TRY
019816f5339679a68d69c22683eef6ec;83980010177332;apm;complete;fail;500;TRY;0;
019816db2ee275809ec348e23f6803a3;76063010142732;apm;complete;fail;470;TRY;0;
019816b15c7077fabffecf63cb472881;96240010177032;apm;in_process;success;400;TRY;400;TRY
01981679511f7059a36cbf31c2c71f3b;5028190010216584;apm;in_process;success;400;TRY;400;TRY
01981657d8a07616ab5ee9c1a3d66ae3;31955010145592;apm;complete;fail;417;TRY;0;
019815ee46367d899a54cc7814154681;5001292010210444;apm;complete;fail;916;TRY;0;
019815ec0a567e32961ff8c38e62ab6b;5034296010217444;apm;complete;fail;916;TRY;0;
019815eac2ec724eb9bbb5f7952e3c35;74814010141692;apm;complete;fail;916;TRY;0;
019815e6b2ad7f058490107a7d441cd7;90097010178112;apm;complete;fail;1250;TRY;0;
019815aefd647be3b8e120bae05c7ad5;5026440010218074;apm;complete;fail;4165;TRY;0;
019815872f8a7ae793591d0329e4b964;64105010121552;apm;complete;fail;910;TRY;0;
0198152ec68e75cc9b02da0d3703d19a;5011767010217384;apm;complete;fail;2083;TRY;0;
0198150e7a3876f3b8c9e7631774cf90;16954010131752;apm;complete;fail;300;TRY;0;
0198150bd4167b4fae137f6947d10717;82419010179652;apm;complete;fail;315;TRY;0;
0198150b18c37ba580ced6922972e726;45080010092262;apm;complete;fail;300;TRY;0;
01981508db2a7c28806372b3817d04f4;5024847010214344;apm;complete;fail;300;TRY;0;
019814ffdde57f498079947ff91c8493;5005652010211624;apm;complete;fail;300;TRY;0;
019814fe3b0e75e6a00e5feeb21485dd;5030562010217804;apm;complete;fail;3200;TRY;0;
019814f4367f7ce591355f08e27511a9;5005662010209644;apm;complete;fail;1042;TRY;0;
019814f11854783ba68c9aad46d95dfe;69580010120952;apm;complete;fail;300;TRY;0;
019814eb9e1f7a639c775a8b8cf3736a;53249010166372;apm;complete;fail;403;TRY;0;
019814eab5637f2ea045522c926b0f2b;86010144662;apm;complete;fail;400;TRY;0;
019814e6a45b710dbb9270c1b3763fa0;63640010120612;apm;complete;fail;300;TRY;0;
019814cf6af274a7bcff822138ba7f4f;5038606010217594;apm;complete;fail;500;TRY;0;
019814c0697672a682c1856e4373ab47;27338010145942;apm;complete;fail;370;TRY;0;
